articulo_nr,articulo_descripcion,ean_entrada,area,main_group,grupo,eCompetidor,busca_tipo,busca_termo,produto_encontrado,score_match,nome_coto,marca_coto,preco_coto,preco_por_coto,preco_de_coto,oferta_coto,preco_referencia_coto,ean_coto,sku_coto,url_produto,imagem,search_url,total_resultados,erro
1096628,ACEITE COCINERO GIRA BTX900ML,7790070012050,ALIMENTOS SECOS,ALIMENTOS BASICOS,ACEITES COMESTIBLES,Coto Ciudadela,descripcion,ACEITE COCINERO GIRA BTX900ML,True,78,Aceite Girasol COCINERO Botella 900 Ml,COCINERO,432222.0,,,,3890,,prod00183553,_/R-00183553-00183553-200,https://static.cotodigital3.com.ar/sitios/fotos/large/00183500/00183553.jpg,https://api.coto.com.ar/api/v1/ms-digital-sitio-bff-web/api/v1/products/search/ACEITE%20COCINERO%20GIRA%20BTX900ML?key=key_r6xzz4IAoTWcipni&num_results_per_page=24&pre_filter_expression=%7B%22name%22%3A%22store_availability%22%2C%22value%22%3A%22200%22%7D,11,
1698541,ACEITE LEGITIMO GIRASOL X 900CC,7798316700808,ALIMENTOS SECOS,ALIMENTOS BASICOS,ACEITES COMESTIBLES,Coto Ciudadela,descripcion,ACEITE LEGITIMO GIRASOL X 900CC,True,74,Aceite Girasol Legitimo 900 Cmq,LEGITIMO,4000.0,,,,3600,,prod00102866,_/R-00102866-00102866-200,https://static.cotodigital3.com.ar/sitios/fotos/large/00102800/00102866.jpg,https://api.coto.com.ar/api/v1/ms-digital-sitio-bff-web/api/v1/products/search/ACEITE%20LEGITIMO%20GIRASOL%20X%20900CC?key=key_r6xzz4IAoTWcipni&num_results_per_page=24&pre_filter_expression=%7B%22name%22%3A%22store_availability%22%2C%22value%22%3A%22200%22%7D,6,
1684748,ACEITE LEGITIMO GIRASOL X1.5L,7798316700815,ALIMENTOS SECOS,ALIMENTOS BASICOS,ACEITES COMESTIBLES,Coto Ciudadela,descripcion,ACEITE LEGITIMO GIRASOL X1.5L,True,76,Aceite Girasol Legitimo 1.5 Ltr,LEGITIMO,3866.0,3866.0,5799.0,x,5799,,prod00024344,_/R-00024344-00024344-200,https://static.cotodigital3.com.ar/sitios/fotos/large/00024300/00024344.jpg,https://api.coto.com.ar/api/v1/ms-digital-sitio-bff-web/api/v1/products/search/ACEITE%20LEGITIMO%20GIRASOL%20X1.5L?key=key_r6xzz4IAoTWcipni&num_results_per_page=24&pre_filter_expression=%7B%22name%22%3A%22store_availability%22%2C%22value%22%3A%22200%22%7D,6,
1054196,ACEITE NATURA GIRASOL BDX5L,7790272004112,ALIMENTOS SECOS,ALIMENTOS BASICOS,ACEITES COMESTIBLES,Coto Ciudadela,descripcion,ACEITE NATURA GIRASOL BDX5L,True,68,Aceite Girasol NATURA Botella 1.5 L,NATURA,4430.0,4430.0,6645.0,x,6645,,prod00014076,_/R-00014076-00014076-200,https://static.cotodigital3.com.ar/sitios/fotos/large/00014000/00014076.jpg,https://api.coto.com.ar/api/v1/ms-digital-sitio-bff-web/api/v1/products/search/ACEITE%20NATURA%20GIRASOL%20BDX5L?key=key_r6xzz4IAoTWcipni&num_results_per_page=24&pre_filter_expression=%7B%22name%22%3A%22store_availability%22%2C%22value%22%3A%22200%22%7D,9,
1027208,ARROZ L/FINO 5/0 DOS HNOS PQX1KG,7790503199082,ALIMENTOS SECOS,ALIMENTOS BASICOS,ARROZ,Coto Ciudadela,descripcion,ARROZ L/FINO 5/0 DOS HNOS PQX1KG,False,,,,,,,,,,,,,https://api.coto.com.ar/api/v1/ms-digital-sitio-bff-web/api/v1/products/search/ARROZ%20L%2FFINO%205%2F0%20DOS%20HNOS%20PQX1KG?key=key_r6xzz4IAoTWcipni&num_results_per_page=24&pre_filter_expression=%7B%22name%22%3A%22store_availability%22%2C%22value%22%3A%22200%22%7D,,HttpError('Ignoring non-200 response')
1096615,ACEITE NATURA GIRASOL BOT X900 ML,7790272001005,ALIMENTOS SECOS,ALIMENTOS BASICOS,ACEITES COMESTIBLES,Coto Ciudadela,descripcion,ACEITE NATURA GIRASOL BOT X900 ML,True,82,Aceite Girasol NATURA Botella 900 Ml,NATURA,466555.0,,,,4199,,prod00163580,_/R-00163580-00163580-200,https://static.cotodigital3.com.ar/sitios/fotos/large/00163500/00163580.jpg,https://api.coto.com.ar/api/v1/ms-digital-sitio-bff-web/api/v1/products/search/ACEITE%20NATURA%20GIRASOL%20BOT%20X900%20ML?key=key_r6xzz4IAoTWcipni&num_results_per_page=24&pre_filter_expression=%7B%22name%22%3A%22store_availability%22%2C%22value%22%3A%22200%22%7D,11,
1615848,ARROZ L/FINO MARIA PQX1KG,7790387070019,ALIMENTOS SECOS,ALIMENTOS BASICOS,ARROZ,Coto Ciudadela,descripcion,ARROZ L/FINO MARIA PQX1KG,False,,,,,,,,,,,,,https://api.coto.com.ar/api/v1/ms-digital-sitio-bff-web/api/v1/products/search/ARROZ%20L%2FFINO%20MARIA%20PQX1KG?key=key_r6xzz4IAoTWcipni&num_results_per_page=24&pre_filter_expression=%7B%22name%22%3A%22store_availability%22%2C%22value%22%3A%22200%22%7D,,HttpError('Ignoring non-200 response')
1027273,ARROZ LARGO FINO 53 PQX1KG,7791120032554,ALIMENTOS SECOS,ALIMENTOS BASICOS,ARROZ,Coto Ciudadela,descripcion,ARROZ LARGO FINO 53 PQX1KG,True,79,Arroz Largo Fino Gallo 1 Kg,GALLO,2244.0,,,,2244,,prod00561452,_/R-00561452-00561452-200,https://static.cotodigital3.com.ar/sitios/fotos/large/00561400/00561452.jpg,https://api.coto.com.ar/api/v1/ms-digital-sitio-bff-web/api/v1/products/search/ARROZ%20LARGO%20FINO%2053%20PQX1KG?key=key_r6xzz4IAoTWcipni&num_results_per_page=24&pre_filter_expression=%7B%22name%22%3A%22store_availability%22%2C%22value%22%3A%22200%22%7D,8,
1746589,ARROZ LARGO FINO MOLINOS ALA 1KG,7791120100857,ALIMENTOS SECOS,ALIMENTOS BASICOS,ARROZ,Coto Ciudadela,descripcion,ARROZ LARGO FINO MOLINOS ALA 1KG,True,97,Arroz Largo Fino MOLINOS ALA Paquete 1 Kg,MOLINOS ALA,1790.0,,,,1790,,prod00002270,_/R-00002270-00002270-200,https://static.cotodigital3.com.ar/sitios/fotos/large/00002200/00002270.jpg,https://api.coto.com.ar/api/v1/ms-digital-sitio-bff-web/api/v1/products/search/ARROZ%20LARGO%20FINO%20MOLINOS%20ALA%201KG?key=key_r6xzz4IAoTWcipni&num_results_per_page=24&pre_filter_expression=%7B%22name%22%3A%22store_availability%22%2C%22value%22%3A%22200%22%7D,8,
1048788,ARROZ PARBOIL DOS HNOS PQX1KG,7790503199099,ALIMENTOS SECOS,ALIMENTOS BASICOS,ARROZ,Coto Ciudadela,descripcion,ARROZ PARBOIL DOS HNOS PQX1KG,True,91,Arroz Parboil Dos Hnos. Paq 1 Kgm,DOS HERMANOS,2050.0,,,,2050,,prod00514013,_/R-00514013-00514013-200,https://static.cotodigital3.com.ar/sitios/fotos/large/00514000/00514013.jpg,https://api.coto.com.ar/api/v1/ms-digital-sitio-bff-web/api/v1/products/search/ARROZ%20PARBOIL%20DOS%20HNOS%20PQX1KG?key=key_r6xzz4IAoTWcipni&num_results_per_page=24&pre_filter_expression=%7B%22name%22%3A%22store_availability%22%2C%22value%22%3A%22200%22%7D,8,
1120847,AZUCAR CLASICA LEDESMA X1K,7792540260138,ALIMENTOS SECOS,ALIMENTOS BASICOS,AZUCAR,Coto Ciudadela,descripcion,AZUCAR CLASICA LEDESMA X1K,True,77,Azúcar Rubio Mascabo LEDESMA 800g,LEDESMA,313625.0,,,,2509,,prod00481465,_/R-00481465-00481465-200,https://static.cotodigital3.com.ar/sitios/fotos/large/00481400/00481465.jpg,https://api.coto.com.ar/api/v1/ms-digital-sitio-bff-web/api/v1/products/search/AZUCAR%20CLASICA%20LEDESMA%20X1K?key=key_r6xzz4IAoTWcipni&num_results_per_page=24&pre_filter_expression=%7B%22name%22%3A%22store_availability%22%2C%22value%22%3A%22200%22%7D,10,
1117220,AZUCAR LIGHT HILERET PQX500G,7794940000536,ALIMENTOS SECOS,ALIMENTOS BASICOS,DIETETICOS NATURALES,Coto Ciudadela,descripcion,AZUCAR LIGHT HILERET PQX500G,True,79,Azúcar HILERET Light 500 Gr,HILERET,5602.0,,,,2801,,prod00062704,_/R-00062704-00062704-200,https://static.cotodigital3.com.ar/sitios/fotos/large/00062700/00062704.jpg,https://api.coto.com.ar/api/v1/ms-digital-sitio-bff-web/api/v1/products/search/AZUCAR%20LIGHT%20HILERET%20PQX500G?key=key_r6xzz4IAoTWcipni&num_results_per_page=24&pre_filter_expression=%7B%22name%22%3A%22store_availability%22%2C%22value%22%3A%22200%22%7D,13,
1609855,END HILERET CLASICO FORTE x500ML,7790490998309,ALIMENTOS SECOS,ALIMENTOS BASICOS,DIETETICOS NATURALES,Coto Ciudadela,descripcion,END HILERET CLASICO FORTE x500ML,True,73,Endulzante Clásico Forte Hileret Cja 500 Grm,HILERET,408825.0,,,,16353,,prod00513653,_/R-00513653-00513653-200,https://static.cotodigital3.com.ar/sitios/fotos/large/00513600/00513653.jpg,https://api.coto.com.ar/api/v1/ms-digital-sitio-bff-web/api/v1/products/search/END%20HILERET%20CLASICO%20FORTE%20x500ML?key=key_r6xzz4IAoTWcipni&num_results_per_page=24&pre_filter_expression=%7B%22name%22%3A%22store_availability%22%2C%22value%22%3A%22200%22%7D,4,
1117493,ENDUL SI-DIET BT X500ML,7790036020211,ALIMENTOS SECOS,ALIMENTOS BASICOS,DIETETICOS NATURALES,Coto Ciudadela,descripcion,ENDUL SI-DIET BT X500ML,True,65,Endulzante Clásico HILERET 500ml,HILERET,10098.0,,,,5049,,prod00511722,_/R-00511722-00511722-200,https://static.cotodigital3.com.ar/sitios/fotos/large/00511700/00511722.jpg,https://api.coto.com.ar/api/v1/ms-digital-sitio-bff-web/api/v1/products/search/ENDUL%20SI-DIET%20BT%20X500ML?key=key_r6xzz4IAoTWcipni&num_results_per_page=24&pre_filter_expression=%7B%22name%22%3A%22store_availability%22%2C%22value%22%3A%22200%22%7D,8,
953030,FID FAVORITA TALLARIN PQX500G,7790070320292,ALIMENTOS SECOS,ALIMENTOS BASICOS,FIDEOS,Coto Ciudadela,descripcion,FID FAVORITA TALLARIN PQX500G,True,48,Lata Yerba Gris 500gr,ENVAFLU,8299.0,,,,8299,,prod00592109,_/R-00592109-00592109-200,https://static.cotodigital3.com.ar/sitios/fotos/large/00592100/00592109.jpg,https://api.coto.com.ar/api/v1/ms-digital-sitio-bff-web/api/v1/products/search/FID%20FAVORITA%20TALLARIN%20PQX500G?key=key_r6xzz4IAoTWcipni&num_results_per_page=24&pre_filter_expression=%7B%22name%22%3A%22store_availability%22%2C%22value%22%3A%22200%22%7D,9,
1246479,FID LA PROVIDENCIA SPAGH PQX500G,7798141970346,ALIMENTOS SECOS,ALIMENTOS BASICOS,FIDEOS,Coto Ciudadela,descripcion,FID LA PROVIDENCIA SPAGH PQX500G,True,47,Fideos Spaghetti MATARAZZO 500g,MATARAZZO,3700.0,,,,1850,,prod00573911,_/R-00573911-00573911-200,https://static.cotodigital3.com.ar/sitios/fotos/large/00573900/00573911.jpg,https://api.coto.com.ar/api/v1/ms-digital-sitio-bff-web/api/v1/products/search/FID%20LA%20PROVIDENCIA%20SPAGH%20PQX500G?key=key_r6xzz4IAoTWcipni&num_results_per_page=24&pre_filter_expression=%7B%22name%22%3A%22store_availability%22%2C%22value%22%3A%22200%22%7D,9,
1755390,FID MATARAZO TALLARÍN N5 X500G,7790070336316,ALIMENTOS SECOS,ALIMENTOS BASICOS,FIDEOS,Coto Ciudadela,descripcion,FID MATARAZO TALLARÍN N5 X500G,True,65,Fideos Tallarin N° 5 Matarazzo 500g,MATARAZZO,3700.0,,,,1850,,prod00573920,_/R-00573920-00573920-200,https://static.cotodigital3.com.ar/sitios/fotos/large/00573900/00573920.jpg,https://api.coto.com.ar/api/v1/ms-digital-sitio-bff-web/api/v1/products/search/FID%20MATARAZO%20TALLAR%C3%8DN%20N5%20X500G?key=key_r6xzz4IAoTWcipni&num_results_per_page=24&pre_filter_expression=%7B%22name%22%3A%22store_availability%22%2C%22value%22%3A%22200%22%7D,7,
1553461,FID MATARAZZO CODITO PQX500G,7790070318619,ALIMENTOS SECOS,ALIMENTOS BASICOS,FIDEOS,Coto Ciudadela,descripcion,FID MATARAZZO CODITO PQX500G,True,71,Coditos MATARAZZO 500 Gr,MATARAZZO,3700.0,,,,1850,,prod00263761,_/R-00263761-00263761-200,https://static.cotodigital3.com.ar/sitios/fotos/large/00263700/00263761.jpg,https://api.coto.com.ar/api/v1/ms-digital-sitio-bff-web/api/v1/products/search/FID%20MATARAZZO%20CODITO%20PQX500G?key=key_r6xzz4IAoTWcipni&num_results_per_page=24&pre_filter_expression=%7B%22name%22%3A%22store_availability%22%2C%22value%22%3A%22200%22%7D,13,
1747954,FID TALLARIN LUCCHETTI N°5 X500G,7790070336118,ALIMENTOS SECOS,ALIMENTOS BASICOS,FIDEOS,Coto Ciudadela,descripcion,FID TALLARIN LUCCHETTI N°5 X500G,True,93,Fideos Tallarin N5 Lucchetti 500g,LUCCHETTI,3000.0,,,,1500,,prod00572005,_/R-00572005-00572005-200,https://static.cotodigital3.com.ar/sitios/fotos/large/00572000/00572005.jpg,https://api.coto.com.ar/api/v1/ms-digital-sitio-bff-web/api/v1/products/search/FID%20TALLARIN%20LUCCHETTI%20N%C2%B05%20X500G?key=key_r6xzz4IAoTWcipni&num_results_per_page=24&pre_filter_expression=%7B%22name%22%3A%22store_availability%22%2C%22value%22%3A%22200%22%7D,9,
1135186,HARINA 0000 CASERITA X1K,7792590000227,ALIMENTOS SECOS,ALIMENTOS BASICOS,HARINA DE TRIGO,Coto Ciudadela,descripcion,HARINA 0000 CASERITA X1K,True,65,Harina Trigo 0000 MORIXE 1kg,MORIXE,1319.0,,,,1319,,prod00480052,_/R-00480052-00480052-200,https://static.cotodigital3.com.ar/sitios/fotos/large/00480000/00480052.jpg,https://api.coto.com.ar/api/v1/ms-digital-sitio-bff-web/api/v1/products/search/HARINA%200000%20CASERITA%20X1K?key=key_r6xzz4IAoTWcipni&num_results_per_page=24&pre_filter_expression=%7B%22name%22%3A%22store_availability%22%2C%22value%22%3A%22200%22%7D,8,
1135082,HARINA PUREZA 0000 FORT V/ZINCX1K,7792180004871,ALIMENTOS SECOS,ALIMENTOS BASICOS,HARINA DE TRIGO,Coto Ciudadela,descripcion,HARINA PUREZA 0000 FORT V/ZINCX1K,False,,,,,,,,,,,,,https://api.coto.com.ar/api/v1/ms-digital-sitio-bff-web/api/v1/products/search/HARINA%20PUREZA%200000%20FORT%20V%2FZINCX1K?key=key_r6xzz4IAoTWcipni&num_results_per_page=24&pre_filter_expression=%7B%22name%22%3A%22store_availability%22%2C%22value%22%3A%22200%22%7D,,HttpError('Ignoring non-200 response')
1769027,HARINA BLANCAFLOR LEUD FOR PQX1KG,7790070562180,ALIMENTOS SECOS,ALIMENTOS BASICOS,HARINA DE TRIGO,Coto Ciudadela,descripcion,HARINA BLANCAFLOR LEUD FOR PQX1KG,True,74,Harina P/Pizza BLANCAFLOR Paq 1 Kgm,BLANCAFLOR,2350.0,,,,2350,,prod00486453,_/R-00486453-00486453-200,https://static.cotodigital3.com.ar/sitios/fotos/large/00486400/00486453.jpg,https://api.coto.com.ar/api/v1/ms-digital-sitio-bff-web/api/v1/products/search/HARINA%20BLANCAFLOR%20LEUD%20FOR%20PQX1KG?key=key_r6xzz4IAoTWcipni&num_results_per_page=24&pre_filter_expression=%7B%22name%22%3A%22store_availability%22%2C%22value%22%3A%22200%22%7D,8,
1727232,HARINA PUREZA LEU FORT V/ZINC X1K,7792180140708,ALIMENTOS SECOS,ALIMENTOS BASICOS,HARINA DE TRIGO,Coto Ciudadela,descripcion,HARINA PUREZA LEU FORT V/ZINC X1K,False,,,,,,,,,,,,,https://api.coto.com.ar/api/v1/ms-digital-sitio-bff-web/api/v1/products/search/HARINA%20PUREZA%20LEU%20FORT%20V%2FZINC%20X1K?key=key_r6xzz4IAoTWcipni&num_results_per_page=24&pre_filter_expression=%7B%22name%22%3A%22store_availability%22%2C%22value%22%3A%22200%22%7D,,HttpError('Ignoring non-200 response')
1655537,LECHE LA PAULINA EN POLVO  X800G,7790398100644,ALIMENTOS SECOS,ALIMENTOS BASICOS,LECHE NO FLUIDA,Coto Ciudadela,descripcion,LECHE LA PAULINA EN POLVO  X800G,True,54,Leche En Polvo Pro Futura Nutrilon 800g,NUTRILON,5733375.0,,,,45867,,prod00269098,_/R-00269098-00269098-200,https://static.cotodigital3.com.ar/sitios/fotos/large/00269000/00269098.jpg,https://api.coto.com.ar/api/v1/ms-digital-sitio-bff-web/api/v1/products/search/LECHE%20LA%20PAULINA%20EN%20POLVO%20%20X800G?key=key_r6xzz4IAoTWcipni&num_results_per_page=24&pre_filter_expression=%7B%22name%22%3A%22store_availability%22%2C%22value%22%3A%22200%22%7D,5,
1601015,MC S/E DIAMANTAD TARAGUI X100X3GR,7790387800074,ALIMENTOS SECOS,ALIMENTOS BASICOS,TE Y YERBAS,Coto Ciudadela,descripcion,MC S/E DIAMANTAD TARAGUI X100X3GR,False,,,,,,,,,,,,,https://api.coto.com.ar/api/v1/ms-digital-sitio-bff-web/api/v1/products/search/MC%20S%2FE%20DIAMANTAD%20TARAGUI%20X100X3GR?key=key_r6xzz4IAoTWcipni&num_results_per_page=24&pre_filter_expression=%7B%22name%22%3A%22store_availability%22%2C%22value%22%3A%22200%22%7D,,HttpError('Ignoring non-200 response')
1641211,LECHE POLVO LA LECHERA BOL X800G,8445290702234,ALIMENTOS SECOS,ALIMENTOS BASICOS,LECHE NO FLUIDA,Coto Ciudadela,descripcion,LECHE POLVO LA LECHERA BOL X800G,True,65,Leche En Polvo Liviana La Serenisima 800g,LA SERENISIMA,15950.0,,,,12760,,prod00616218,_/R-00616218-00616218-200,https://static.cotodigital3.com.ar/sitios/fotos/large/00616200/00616218.jpg,https://api.coto.com.ar/api/v1/ms-digital-sitio-bff-web/api/v1/products/search/LECHE%20POLVO%20LA%20LECHERA%20BOL%20X800G?key=key_r6xzz4IAoTWcipni&num_results_per_page=24&pre_filter_expression=%7B%22name%22%3A%22store_availability%22%2C%22value%22%3A%22200%22%7D,7,
1614353,YERBA H SERRANAS CBSE LGC PQX500G,7790710334535,ALIMENTOS SECOS,ALIMENTOS BASICOS,TE Y YERBAS,Coto Ciudadela,descripcion,YERBA H SERRANAS CBSE LGC PQX500G,True,71,Yerba Mate CBSÉ Limón 500 Grm,CBSÉ,4870.0,,,,2435,,prod00512965,_/R-00512965-00512965-200,https://static.cotodigital3.com.ar/sitios/fotos/large/00512900/00512965.jpg,https://api.coto.com.ar/api/v1/ms-digital-sitio-bff-web/api/v1/products/search/YERBA%20H%20SERRANAS%20CBSE%20LGC%20PQX500G?key=key_r6xzz4IAoTWcipni&num_results_per_page=24&pre_filter_expression=%7B%22name%22%3A%22store_availability%22%2C%22value%22%3A%22200%22%7D,12,
1526876,YERBA MAÑANITA 4 FLEX X 1KG,7790387015317,ALIMENTOS SECOS,ALIMENTOS BASICOS,TE Y YERBAS,Coto Ciudadela,descripcion,YERBA MAÑANITA 4 FLEX X 1KG,True,77,Yerba Mate 4 Flex UNION 1kg,UNION,5165.0,,,,5165,,prod00512930,_/R-00512930-00512930-200,https://static.cotodigital3.com.ar/sitios/fotos/large/00512900/00512930.jpg,https://api.coto.com.ar/api/v1/ms-digital-sitio-bff-web/api/v1/products/search/YERBA%20MA%C3%91ANITA%204%20FLEX%20X%201KG?key=key_r6xzz4IAoTWcipni&num_results_per_page=24&pre_filter_expression=%7B%22name%22%3A%22store_availability%22%2C%22value%22%3A%22200%22%7D,16,
1526902,YERBA MAÑANITA 4 FLEX X 500GR,7790387015324,ALIMENTOS SECOS,ALIMENTOS BASICOS,TE Y YERBAS,Coto Ciudadela,descripcion,YERBA MAÑANITA 4 FLEX X 500GR,True,77,Yerba Mate 4 Flex Union 500g,SUAVE UNION,5786.0,,,,2893,,prod00499472,_/R-00499472-00499472-200,https://static.cotodigital3.com.ar/sitios/fotos/large/00499400/00499472.jpg,https://api.coto.com.ar/api/v1/ms-digital-sitio-bff-web/api/v1/products/search/YERBA%20MA%C3%91ANITA%204%20FLEX%20X%20500GR?key=key_r6xzz4IAoTWcipni&num_results_per_page=24&pre_filter_expression=%7B%22name%22%3A%22store_availability%22%2C%22value%22%3A%22200%22%7D,15,
175708,YERBA PLAYADITO PQ X2K,7793704000041,ALIMENTOS SECOS,ALIMENTOS BASICOS,TE Y YERBAS,Coto Ciudadela,descripcion,YERBA PLAYADITO PQ X2K,True,77,Yerba Mate Suave PLAYADITO 1 Kg,PLAYADITO,4999.0,,,,4999,,prod00502038,_/R-00502038-00502038-200,https://static.cotodigital3.com.ar/sitios/fotos/large/00502000/00502038.jpg,https://api.coto.com.ar/api/v1/ms-digital-sitio-bff-web/api/v1/products/search/YERBA%20PLAYADITO%20PQ%20X2K?key=key_r6xzz4IAoTWcipni&num_results_per_page=24&pre_filter_expression=%7B%22name%22%3A%22store_availability%22%2C%22value%22%3A%22200%22%7D,14,
1536119,YERBA PLAYADITO PQX500G,7793704000911,ALIMENTOS SECOS,ALIMENTOS BASICOS,TE Y YERBAS,Coto Ciudadela,descripcion,YERBA PLAYADITO PQX500G,True,85,Yerba Mate PLAYADITO Paquete 500 Gr,PLAYADITO,6600.0,,,,3300,,prod00269852,_/R-00269852-00269852-200,https://static.cotodigital3.com.ar/sitios/fotos/large/00269800/00269852.jpg,https://api.coto.com.ar/api/v1/ms-digital-sitio-bff-web/api/v1/products/search/YERBA%20PLAYADITO%20PQX500G?key=key_r6xzz4IAoTWcipni&num_results_per_page=24&pre_filter_expression=%7B%22name%22%3A%22store_availability%22%2C%22value%22%3A%22200%22%7D,13,
